codigo,Linha_Atual_Ref,Denominacao_provisoria,Nivel_de_rede,Tipo_de_linha,Modelo_operacional
LPR-01-17-01,209P-10,Cachoeirinha  -  Term. Pinheiros,Estrutural,Perimetral,Base
LPR-01-03-02,8194-10,Perus  -  Term. Cachoeirinha,Estrutural,Perimetral,Base
LPR-01-04-03,971D-10,Jd. Damasceno  -  Center Norte,Estrutural,Perimetral,Base
LPR-01-03-04,,Perus - Santana (via Av. Cantidio Sampaio),Estrutural,Perimetral,Base
LPR-02-03-01,,Tucuruvi-Pirituba,Estrutural,Perimetral,Base
LPR-02-03-02,,Terminal Pirituba - Terminal Santana (via Nossa S. do Ó),Estrutural,Perimetral,Base
LPR-02-19-03,,Terminal Lapa - Metrô Santa Cruz (via Vila Leopoldina),Estrutural,Perimetral,Base
LPR-03-04-01,971X-10,Terminal Cachoeirinha  -  Metrô Santana,Estrutural,Perimetral,Base
LPR-03-16-02,,Tucuruvi - Lapa,Estrutural,Perimetral,Base
LPR-03-17-03,,Santana - Pinheiros (via Av. Sumaré),Estrutural,Perimetral,Base
LPR-03-11-04,,Metrô Santana - Metrô Conceição (via Av. Brasil),Estrutural,Perimetral,Base
LPR-04-21-01,,Pq. Edu Chaves - Metrô Bresser (via Júlio Buono / Joaquina Ramalho),Estrutural,Perimetral,Base
LPR-05-05-01,2059-10,Sao Miguel  -  Guaianazes,Estrutural,Perimetral,Base
LPR-05-05-02,2202-10,Hospital Itaim  -  Guaianazes,Estrutural,Perimetral,Base
LPR-05-08-03,233A-10,Jd. Helena - Term. Carrão,Estrutural,Perimetral,Base
LPR-05-07-04,,Terminal São Mateus - CPTM Itaim (via Dom João Nery),Estrutural,Perimetral,Base
LPR-05-09-05,,Terminal Sapopemba - Terminal São Miguel (via Av. Pires do Rio),Estrutural,Perimetral,Base
LPR-05-07-06,,Terminal Cidade Tiradentes - Terminal São Miguel (via Av. Nordestina),Estrutural,Perimetral,Base
LPR-05-09-07,,Terminal São Mateus - Terminal São Miguel (via Jacú Pêssego),Estrutural,Perimetral,Base
LPR-06-08-01,,T. Carrão - Ermelino Matarazzo,Estrutural,Perimetral,Base
LPR-06-03-02,,Penha - T. Cachoeirinha (Via Santana),Estrutural,Perimetral,Base
LPR-06-03-03,,Penha - T. Cachoeirinha,Estrutural,Perimetral,Base
LPR-07-07-01,3063-10,Guaianazes  -  Term. Sao Mateus,Estrutural,Perimetral,Base
